"","V1","V2","V3","V4","V5","V6","V7","V8","V9","V10"
"40","week -0.00160282709096093","us -0.00111981293321084","hopkins -0.00103402684481335","coronavirus -0.00101121019469641","less -0.000832953961178662","day -0.000824153253415227","past -0.000737577539177914","region -0.00062480816464483","rise -0.000426567542056389","july -0.00041666257514994"
"41","day -0.00376593358319521","less -0.00199737935318345","week -0.00193177669621958","since -0.00179781172086657","last -0.0013764248820356","average -0.00107748490250692","coronavirus -0.00103730119897261","place -0.000885894395917575","mask -0.000857897104675875","monday -0.000807575450887388"
"42","state -0.00430487166824434","covid -0.00112904473699516","average -0.000767712471022475","increase -0.000747771499531091","rise -0.000691937200339221","people -0.000594200462612604","illinois -0.000414422903273426","unite -0.000384360014357599","texas -0.000365368377464925","ctp -0.000358031797246583"
"43","covid -0.00137595591992512","saturday -0.000877448946245085","friday -0.000496039408743432","infection -0.000397170754686482","authority -0.000379743400145904","thursday -0.000327616244211959","agency -0.000272324923744627","say -0.000271638457239209","october -0.000229791254769629","country -0.000200104496920206"
"44","us -0.0028903106434145","late -0.00228113797687324","hit -0.00146825964732822","million -0.0012062624265976","country -0.00104767377880599","november -0.000845950677853313","numb -0.000693250506263898","daily -0.000676934356085068","monday -0.000558452798279596","say -0.000479145279428828"
"45","case -0.00782503942175761","death -0.00160783575332046","hospitalization -0.000810035335102932","ctp -0.000726102344892121","project -0.000624152158630209","numb -0.00058825240492455","hospitalize -0.000548127057155012","monday -0.00047133915714781","wednesday -0.000455004517641133","week -0.000409296115384872"
"46","hospital -0.000772935412714393","december -0.000618558779122758","patient -0.000508158993951846","record -0.000480910328038542","thursday -0.000421814824563271","set -0.000400213181030562","carolina -0.000368825331189759","since -0.000368796407523186","south -0.000344201333931982","day -0.000293555701505133"
"47","million -0.00249240682726526","korea -0.00156641503929011","kdca -0.00129412780778682","state -0.00127627933054275","south -0.000840145253728442","dec -0.000688051746339902","us -0.000677747226043079","begin -0.000616892682211434","hospitalization -0.000604238370409016","hit -0.000600033145718437"
"48","less -0.00155955676936503","infection -0.00145505288726999","late -0.00131193806801411","thursday -0.000848445360866812","hit -0.000805182377603075","patient -0.000781751146582854","people -0.000687051601286015","monday -0.000673254311745253","hospitalization -0.000564011914205853","million -0.000557614339410595"
"49","dec -0.00248268841727628","new -0.00213933814962552","monday -0.00163866088073705","people -0.00146411464764795","million -0.00127580843944597","disease -0.000906861570404871","state -0.000858868554415082","control -0.000756455062564165","tuesday -0.000664313947174811","patient -0.000621739737993066"
"50","wednesday -0.00131214777794075","day -0.000960904055623324","state -0.000793835058942816","current -0.000536994507383426","number -0.000404201262724779","one -0.000355221405245243","pandemic -0.000330122101820041","emergency -0.000316108202987331","saturday -0.000289322961799399","georgia -0.000259500706401794"
"51","begin -0.0025151522815734","hospitalization -0.00235934521953152","ctp -0.000853538741054427","record -0.000834670065686161","show -0.00075372339010904","south -0.000751497693221803","korea -0.000733394331164039","dec -0.000705477429378876","monday -0.000548391071826027","center -0.000486315782140423"
"52","million -0.00186158002750725","hospitalization -0.00144433509203457","confirm -0.000728034376743625","dec -0.000699583187539488","ctp -0.000643583910429402","toll -0.000569206514357656","university -0.000558338596130969","high -0.000510644690159712","south -0.000377428811890956","say -0.0003767574441359"
"53","record -0.00369038197051974","high -0.00267407161563959","numb -0.00217437827791622","university -0.00214405586969002","vaccine -0.00203658209320234","test -0.000876536849580556","may -0.000750076582931913","hit -0.000739178451410694","hospitalization -0.000541616871057804","forecast -0.000509174766229803"
"54","new -0.00326434499705408","dos -0.00170486820278903","high -0.00163120704699993","nearly -0.00162111099052442","case -0.00119254234331323","cdc -0.00103251683014349","vaccine -0.000985208388155634","record -0.000858407074064593","vaccinate -0.000837080244604493","unite -0.000817660869924852"
"55","test -0.00525386290937346","nurse -0.00369893909932884","week -0.00290086992669769","state -0.00202438255280091","home -0.00182249779256616","antigen -0.00172804439694019","people -0.00118518133184009","department -0.00114675702861655","high -0.00109145090700558","care -0.00107473535882596"
"56","dos -0.00434725177592632","death -0.00364113490820206","covid -0.00182302045483029","record -0.00145070005275949","release -0.00113965814196537","health -0.0010822125788067","administer -0.000990572401150858","average -0.000949420645739663","november -0.000926231762070739","pandemic -0.000732851926312006"
